shotkey,team_id,attack_points,game_average,recentry5
20260406,10,180.68,20.08,103.18
20260406,17,143.73,14.37,64.41
20260406,3,140.24,15.58,70.57
20260406,15,139.5,15.5,77.86
20260406,1,137.65,15.29,75.97
20260406,14,136.82,13.68,56.51
20260406,11,136.23,15.14,89.16
20260406,12,135.29,15.03,75.43
20260406,7,130.28,14.48,72.02
20260406,18,127.16,12.72,73.19
20260406,6,121.98,12.2,68.75
20260406,19,115.21,12.8,68.48
20260406,33,114.17,12.69,68.55
20260406,5,111.69,12.41,67.34
20260406,39,108.13,12.01,59.91
20260406,34,106.34,11.82,48.03
20260406,9,104.09,11.57,60.81
20260406,4,100.2,11.13,48.59
20260406,16,98.24,10.92,60.34
20260406,13,96.13,10.68,56.6
20260406,35,173.74,19.3,101.08
20260406,24,163.97,18.22,85.9
20260406,59,152.79,16.98,102.96
20260406,28,152.35,16.93,78.28
20260406,21,150.28,16.7,81.04
20260406,48,147.47,16.39,91.81
20260406,27,140.88,15.65,75.63
20260406,29,140.05,15.56,81.17
20260406,40,139.91,15.55,70.66
20260406,30,137.32,15.26,70.29
20260406,45,134.32,14.92,76.63
20260406,54,134.16,14.91,69.34
20260406,20,133.36,14.82,75.67
20260406,41,131.28,14.59,75.66
20260406,8,131.04,14.56,75.02
20260406,26,122.3,13.59,59.53
20260406,43,120.14,13.35,67.07
20260406,23,118.74,13.19,51.69
20260406,42,117.47,13.05,69.24
20260406,31,114.44,12.72,64.03
20260406,58,113.41,12.6,64.34
20260406,36,113.15,12.57,67.19
20260406,57,113.02,12.56,58.81
20260406,46,112.62,12.51,67.44
20260406,47,112.52,12.5,63.02
20260406,37,112.41,12.49,64.89
20260406,38,111.35,12.37,65.34
20260406,25,111.27,12.36,63.03
20260406,32,104.89,11.65,61.81
20260406,2,103.56,11.51,59.59
20260406,60,101.17,12.65,61.99
20260406,44,100.07,11.12,47.18
20260406,53,94.97,10.55,54.56
20260406,52,93.8,11.72,53.76
20260406,55,89.08,9.9,56.0
20260406,61,88.9,11.11,56.82
20260406,51,88.82,11.1,59.47
20260406,50,87.78,9.75,43.67
20260406,22,86.16,9.57,44.86
20260406,49,77.44,8.6,41.27
