shotkey,team_id,capture_points,game_average,recentry5
20260406,6,1152.19,115.22,571.51
20260406,14,960.58,96.06,491.99
20260406,13,898.58,99.84,557.04
20260406,18,874.48,87.45,414.21
20260406,33,854.48,94.94,452.02
20260406,12,843.72,93.75,465.29
20260406,17,834.33,83.43,429.76
20260406,39,833.18,92.58,480.02
20260406,3,825.22,91.69,484.66
20260406,19,818.43,90.94,434.58
20260406,5,814.33,90.48,490.21
20260406,10,812.92,90.32,469.91
20260406,7,787.31,87.48,444.6
20260406,15,770.47,85.61,420.39
20260406,4,757.61,84.18,386.92
20260406,9,733.84,81.54,423.49
20260406,34,725.96,80.66,435.91
20260406,11,723.58,80.4,420.53
20260406,16,721.81,80.2,432.18
20260406,1,638.68,70.96,322.82
20260406,24,983.39,109.27,518.54
20260406,55,979.64,108.85,567.95
20260406,25,955.88,106.21,504.6
20260406,23,894.04,99.34,470.56
20260406,30,887.32,98.59,464.37
20260406,35,876.54,97.39,516.92
20260406,43,874.38,97.15,449.99
20260406,49,871.42,96.82,477.56
20260406,51,863.83,107.98,563.43
20260406,22,854.64,94.96,501.62
20260406,8,845.49,93.94,471.29
20260406,59,840.29,93.37,474.14
20260406,53,839.77,93.31,470.85
20260406,41,839.24,93.25,503.42
20260406,27,834.59,92.73,464.32
20260406,26,833.55,92.62,443.35
20260406,21,822.78,91.42,461.58
20260406,28,819.31,91.03,437.48
20260406,47,815.87,90.65,463.72
20260406,20,813.63,90.4,473.57
20260406,48,800.67,88.96,444.89
20260406,2,800.52,88.95,435.6
20260406,50,798.91,88.77,405.75
20260406,38,789.51,87.72,447.11
20260406,57,787.99,87.55,394.65
20260406,46,785.84,87.32,470.69
20260406,31,784.57,87.17,438.21
20260406,58,783.69,87.08,398.86
20260406,36,774.79,86.09,430.02
20260406,37,761.1,84.57,394.14
20260406,29,759.4,84.38,443.69
20260406,40,758.59,84.29,405.95
20260406,52,751.58,93.95,490.83
20260406,42,714.52,79.39,406.96
20260406,54,714.48,79.39,423.43
20260406,44,701.67,77.96,388.88
20260406,45,678.49,75.39,381.81
20260406,60,677.24,84.65,455.34
20260406,32,662.08,73.56,354.95
20260406,61,653.97,81.75,385.16
