shotkey,team_id,attacks,shoot,chance_construct_rate,goal,shooting_success_rate
20260406,11,110.3,12.2,11.1,1.8,14.6
20260406,33,113.4,11.8,10.4,1.0,8.5
20260406,5,113.8,13.8,12.1,1.4,10.5
20260406,34,116.8,11.7,10.0,1.0,8.6
20260406,10,112.9,15.3,13.6,1.3,8.7
20260406,17,109.4,14.6,13.4,1.3,8.9
20260406,13,114.1,8.3,7.3,1.2,14.7
20260406,18,108.0,11.5,10.7,1.3,11.3
20260406,1,107.9,12.2,11.3,1.4,11.8
20260406,4,119.9,11.8,9.8,1.3,11.3
20260406,6,128.9,10.6,8.2,1.1,10.4
20260406,15,118.4,15.0,12.7,1.6,10.4
20260406,19,121.7,13.1,10.8,1.1,8.5
20260406,3,124.9,13.2,10.6,1.4,10.9
20260406,7,118.9,11.6,9.7,0.8,6.7
20260406,14,125.9,13.1,10.4,1.8,13.7
20260406,9,119.0,12.8,10.7,1.0,7.8
20260406,12,124.9,15.8,12.6,1.3,8.5
20260406,16,113.0,12.1,10.7,0.8,6.4
20260406,39,119.8,10.7,8.9,1.1,10.4
20260406,21,126.0,12.0,9.5,0.8,6.5
20260406,51,136.0,13.8,10.1,0.4,2.7
20260406,31,125.9,14.0,11.1,1.6,11.1
20260406,22,128.7,12.1,9.4,1.2,10.1
20260406,32,115.4,9.0,7.8,1.1,12.4
20260406,48,128.2,11.1,8.7,1.4,13.0
20260406,23,129.1,15.3,11.9,1.4,9.4
20260406,52,123.8,11.4,9.2,1.5,13.2
20260406,42,130.6,10.1,7.7,1.0,9.9
20260406,54,126.9,11.8,9.3,0.8,6.6
20260406,24,136.3,17.4,12.8,2.6,14.7
20260406,20,130.6,15.2,11.7,1.7,11.0
20260406,8,126.4,12.2,9.7,1.8,14.6
20260406,53,136.1,12.7,9.3,1.9,14.9
20260406,25,128.4,10.3,8.0,1.2,11.8
20260406,55,129.4,13.0,10.0,2.0,15.4
20260406,50,125.8,8.1,6.5,0.8,9.6
20260406,2,122.1,8.9,7.3,1.1,12.5
20260406,35,127.6,18.9,14.8,2.1,11.2
20260406,47,131.1,12.7,9.7,0.8,6.1
20260406,26,127.2,11.9,9.3,0.6,4.7
20260406,36,123.4,11.4,9.3,1.3,11.7
20260406,59,126.0,13.9,11.0,1.7,12.0
20260406,61,118.1,9.0,7.6,0.6,6.9
20260406,41,125.1,15.2,12.2,0.6,3.7
20260406,45,116.3,9.3,8.0,1.2,13.1
20260406,60,116.8,9.5,8.1,0.6,6.6
20260406,27,122.3,12.3,10.1,1.0,8.1
20260406,49,127.2,10.4,8.2,0.8,7.5
20260406,37,116.2,11.8,10.1,2.4,20.8
20260406,28,124.9,13.6,10.9,0.9,6.6
20260406,38,129.8,9.2,7.1,0.6,6.0
20260406,57,115.0,12.6,10.9,1.8,14.2
20260406,44,113.4,8.9,7.8,0.9,10.0
20260406,29,120.9,13.4,11.1,1.0,7.4
20260406,30,115.3,12.2,10.6,1.1,9.1
20260406,40,117.3,13.1,11.2,1.2,9.3
20260406,46,114.8,12.2,10.7,1.9,15.5
20260406,43,131.3,15.7,11.9,1.1,7.1
20260406,58,121.4,10.3,8.5,0.8,7.5
