shotkey,team_id,goal_points,game_average,recentry5
20260406,15,44.52,4.95,34.9
20260406,12,41.98,4.66,17.89
20260406,14,41.84,4.18,18.57
20260406,3,41.83,4.65,30.88
20260406,17,39.47,3.95,16.18
20260406,13,37.57,4.17,10.34
20260406,1,37.08,4.12,16.41
20260406,11,33.8,3.76,19.05
20260406,39,33.43,3.71,14.24
20260406,4,32.99,3.67,21.09
20260406,10,32.74,3.64,14.93
20260406,5,31.63,3.51,16.86
20260406,19,31.36,3.48,10.67
20260406,18,30.48,3.05,5.54
20260406,6,27.58,2.76,23.06
20260406,34,26.54,2.95,20.38
20260406,33,25.7,2.86,8.65
20260406,9,22.31,2.48,12.8
20260406,16,22.12,2.46,14.82
20260406,7,14.79,1.64,6.32
20260406,37,72.87,8.1,31.02
20260406,24,69.17,7.69,32.44
20260406,35,59.68,6.63,33.91
20260406,55,54.52,6.06,42.08
20260406,46,53.43,5.94,25.3
20260406,8,51.22,5.69,25.57
20260406,57,47.78,5.31,14.37
20260406,53,45.95,5.11,21.9
20260406,59,43.49,4.83,23.29
20260406,31,42.61,4.73,17.14
20260406,20,41.34,4.59,25.64
20260406,52,38.99,4.87,17.06
20260406,36,38.45,4.27,21.07
20260406,25,34.87,3.87,11.68
20260406,45,32.81,3.65,23.67
20260406,23,32.49,3.61,18.96
20260406,48,29.4,3.27,24.39
20260406,40,29.31,3.26,13.06
20260406,29,28.73,3.19,17.17
20260406,43,28.08,3.12,5.6
20260406,32,27.5,3.06,9.89
20260406,22,26.69,2.97,14.57
20260406,2,25.79,2.87,11.49
20260406,27,25.77,2.86,17.04
20260406,42,25.31,2.81,15.24
20260406,44,23.66,2.63,15.69
20260406,30,22.54,2.5,2.61
20260406,28,21.5,2.39,12.94
20260406,50,21.49,2.39,15.75
20260406,49,20.06,2.23,12.15
20260406,58,18.74,2.08,12.87
20260406,38,18.1,2.01,11.58
20260406,47,17.58,1.95,7.0
20260406,61,16.52,2.06,15.23
20260406,60,15.65,1.96,2.61
20260406,21,15.26,1.7,9.69
20260406,54,14.68,1.63,11.69
20260406,26,14.46,1.61,8.09
20260406,41,11.46,1.27,5.34
20260406,51,5.95,0.74,3.34
