Unnamed: 0,Unnamed: 1,Unnamed: 2,攻撃ポイント,試合平均,最近５試合,順位,勝点,得点,失点
1,,柏レイソル柏,180.68,20.08,103.18,7,11,14,13
2,,ＦＣ東京FC東京,143.73,14.37,64.41,2,20,13,7
3,,ガンバ大阪Ｇ大阪,140.24,15.58,70.57,2,17,13,11
4,,名古屋グランパス名古屋,139.5,15.5,77.86,3,16,14,10
5,,川崎フロンターレ川崎Ｆ,137.65,15.29,75.97,4,14,14,16
6,,ヴィッセル神戸神戸,136.82,13.68,56.51,1,22,19,8
7,,鹿島アントラーズ鹿島,136.23,15.14,89.16,1,23,16,5
8,,サンフレッチェ広島広島,135.29,15.03,75.43,7,11,12,13
9,,セレッソ大阪Ｃ大阪,130.28,14.48,72.02,9,11,7,10
10,,ＦＣ町田ゼルビア町田,127.16,12.72,73.19,3,19,13,15
11,,清水エスパルス清水,121.98,12.2,68.75,4,16,12,9
12,,京都サンガF.C.京都,115.21,12.8,68.48,5,14,10,10
13,,水戸ホーリーホック水戸,114.17,12.69,68.55,8,10,9,15
14,,浦和レッズ浦和,111.69,12.41,67.34,6,11,13,11
15,,Ｖ・ファーレン長崎長崎,108.13,12.01,59.91,6,12,10,14
16,,ジェフユナイテッド千葉千葉,106.34,11.82,48.03,10,8,9,14
17,,ファジアーノ岡山岡山,104.09,11.57,60.81,8,11,9,12
18,,横浜Ｆ・マリノス横浜FM,100.2,11.13,48.59,9,9,12,15
19,,アビスパ福岡福岡,98.24,10.92,60.34,10,8,7,16
20,,東京ヴェルディ東京Ｖ,96.13,10.68,56.6,5,13,12,14
1,,カターレ富山富山,173.74,19.3,101.08,2,18,20,14
2,,ＲＢ大宮アルディージャ大宮,163.97,18.22,85.9,2,19,23,10
3,,ＦＣ岐阜岐阜,152.79,16.98,102.96,3,18,15,10
4,,愛媛ＦＣ愛媛,152.35,16.93,78.28,8,10,8,10
5,,北海道コンサドーレ札幌札幌,150.28,16.7,81.04,7,10,7,13
6,,福島ユナイテッドＦＣ福島,147.47,16.39,91.81,9,8,13,23
7,,レノファ山口ＦＣ山口,140.88,15.65,75.63,6,12,9,10
8,,サガン鳥栖鳥栖,140.05,15.56,81.17,5,12,9,9
9,,大分トリニータ大分,139.91,15.55,70.66,3,14,11,10
10,,ロアッソ熊本熊本,137.32,15.26,70.29,4,13,11,8
11,,奈良クラブ奈良,134.32,14.92,76.63,10,8,11,21
12,,ザスパ群馬群馬,134.16,14.91,69.34,9,7,8,20
13,,横浜ＦＣ横浜FC,133.36,14.82,75.67,5,11,16,16
14,,ＦＣ大阪FC大阪,131.28,14.59,75.66,7,11,5,6
15,,湘南ベルマーレ湘南,131.04,14.56,75.02,3,21,18,7
16,,ジュビロ磐田磐田,122.3,13.59,59.53,8,8,5,11
17,,鹿児島ユナイテッドＦＣ鹿児島,120.14,13.35,67.07,2,20,10,5
18,,いわきＦＣいわき,118.74,13.19,51.69,1,20,13,7
19,,栃木シティ栃木Ｃ,117.47,13.05,69.24,8,9,9,18
20,,ベガルタ仙台仙台,114.44,12.72,64.03,1,23,14,6
21,,ＦＣ琉球琉球,113.41,12.6,64.34,9,9,7,12
22,,藤枝ＭＹＦＣ藤枝,113.15,12.57,67.19,6,15,12,12
23,,高知ユナイテッドＳＣ高知,113.02,12.56,58.81,3,18,16,11
24,,テゲバジャーロ宮崎宮崎,112.62,12.51,67.44,1,24,18,7
25,,ツエーゲン金沢金沢,112.52,12.5,63.02,5,12,8,14
26,,徳島ヴォルティス徳島,112.41,12.49,64.89,1,21,22,5
27,,ＦＣ今治今治,111.35,12.37,65.34,9,9,5,9
28,,ヴァンフォーレ甲府甲府,111.27,12.36,63.03,4,17,11,6
29,,モンテディオ山形山形,104.89,11.65,61.81,6,11,10,11
30,,アルビレックス新潟新潟,103.56,11.51,59.59,4,16,10,9
31,,ガイナーレ鳥取鳥取,101.17,12.65,61.99,7,11,5,8
32,,ギラヴァンツ北九州北九州,100.07,11.12,47.18,10,7,8,16
33,,ＳＣ相模原相模原,94.97,10.55,54.56,4,12,17,16
34,,栃木ＳＣ栃木SC,93.8,11.72,53.76,7,10,13,14
35,,松本山雅ＦＣ松本,89.08,9.9,56.0,5,15,18,11
36,,レイラック滋賀ＦＣ滋賀,88.9,11.11,56.82,8,10,5,8
37,,ヴァンラーレ八戸八戸,88.82,11.1,59.47,10,6,4,8
38,,ＡＣ長野パルセイロ長野,87.78,9.75,43.67,10,5,8,22
39,,ブラウブリッツ秋田秋田,86.16,9.57,44.86,2,22,13,6
40,,カマタマーレ讃岐讃岐,77.44,8.6,41.27,6,12,7,13
