Unnamed: 0,Unnamed: 1,Unnamed: 2,奪取ポイント,試合平均,最近５試合,順位,勝点,得点,失点
1,,清水エスパルス清水,1152.19,115.22,571.51,4,16,12,9
2,,ヴィッセル神戸神戸,960.58,96.06,491.99,1,22,19,8
3,,東京ヴェルディ東京Ｖ,898.58,99.84,557.04,5,13,12,14
4,,ＦＣ町田ゼルビア町田,874.48,87.45,414.21,3,19,13,15
5,,水戸ホーリーホック水戸,854.48,94.94,452.02,8,10,9,15
6,,サンフレッチェ広島広島,843.72,93.75,465.29,7,11,12,13
7,,ＦＣ東京FC東京,834.33,83.43,429.76,2,20,13,7
8,,Ｖ・ファーレン長崎長崎,833.18,92.58,480.02,6,12,10,14
9,,ガンバ大阪Ｇ大阪,825.22,91.69,484.66,2,17,13,11
10,,京都サンガF.C.京都,818.43,90.94,434.58,5,14,10,10
11,,浦和レッズ浦和,814.33,90.48,490.21,6,11,13,11
12,,柏レイソル柏,812.92,90.32,469.91,7,11,14,13
13,,セレッソ大阪Ｃ大阪,787.31,87.48,444.6,9,11,7,10
14,,名古屋グランパス名古屋,770.47,85.61,420.39,3,16,14,10
15,,横浜Ｆ・マリノス横浜FM,757.61,84.18,386.92,9,9,12,15
16,,ファジアーノ岡山岡山,733.84,81.54,423.49,8,11,9,12
17,,ジェフユナイテッド千葉千葉,725.96,80.66,435.91,10,8,9,14
18,,鹿島アントラーズ鹿島,723.58,80.4,420.53,1,23,16,5
19,,アビスパ福岡福岡,721.81,80.2,432.18,10,8,7,16
20,,川崎フロンターレ川崎Ｆ,638.68,70.96,322.82,4,14,14,16
1,,ＲＢ大宮アルディージャ大宮,983.39,109.27,518.54,2,19,23,10
2,,松本山雅ＦＣ松本,979.64,108.85,567.95,5,15,18,11
3,,ヴァンフォーレ甲府甲府,955.88,106.21,504.6,4,17,11,6
4,,いわきＦＣいわき,894.04,99.34,470.56,1,20,13,7
5,,ロアッソ熊本熊本,887.32,98.59,464.37,4,13,11,8
6,,カターレ富山富山,876.54,97.39,516.92,2,18,20,14
7,,鹿児島ユナイテッドＦＣ鹿児島,874.38,97.15,449.99,2,20,10,5
8,,カマタマーレ讃岐讃岐,871.42,96.82,477.56,6,12,7,13
9,,ヴァンラーレ八戸八戸,863.83,107.98,563.43,10,6,4,8
10,,ブラウブリッツ秋田秋田,854.64,94.96,501.62,2,22,13,6
11,,湘南ベルマーレ湘南,845.49,93.94,471.29,3,21,18,7
12,,ＦＣ岐阜岐阜,840.29,93.37,474.14,3,18,15,10
13,,ＳＣ相模原相模原,839.77,93.31,470.85,4,12,17,16
14,,ＦＣ大阪FC大阪,839.24,93.25,503.42,7,11,5,6
15,,レノファ山口ＦＣ山口,834.59,92.73,464.32,6,12,9,10
16,,ジュビロ磐田磐田,833.55,92.62,443.35,8,8,5,11
17,,北海道コンサドーレ札幌札幌,822.78,91.42,461.58,7,10,7,13
18,,愛媛ＦＣ愛媛,819.31,91.03,437.48,8,10,8,10
19,,ツエーゲン金沢金沢,815.87,90.65,463.72,5,12,8,14
20,,横浜ＦＣ横浜FC,813.63,90.4,473.57,5,11,16,16
21,,福島ユナイテッドＦＣ福島,800.67,88.96,444.89,9,8,13,23
22,,アルビレックス新潟新潟,800.52,88.95,435.6,4,16,10,9
23,,ＡＣ長野パルセイロ長野,798.91,88.77,405.75,10,5,8,22
24,,ＦＣ今治今治,789.51,87.72,447.11,9,9,5,9
25,,高知ユナイテッドＳＣ高知,787.99,87.55,394.65,3,18,16,11
26,,テゲバジャーロ宮崎宮崎,785.84,87.32,470.69,1,24,18,7
27,,ベガルタ仙台仙台,784.57,87.17,438.21,1,23,14,6
28,,ＦＣ琉球琉球,783.69,87.08,398.86,9,9,7,12
29,,藤枝ＭＹＦＣ藤枝,774.79,86.09,430.02,6,15,12,12
30,,徳島ヴォルティス徳島,761.1,84.57,394.14,1,21,22,5
31,,サガン鳥栖鳥栖,759.4,84.38,443.69,5,12,9,9
32,,大分トリニータ大分,758.59,84.29,405.95,3,14,11,10
33,,栃木ＳＣ栃木SC,751.58,93.95,490.83,7,10,13,14
34,,栃木シティ栃木Ｃ,714.52,79.39,406.96,8,9,9,18
35,,ザスパ群馬群馬,714.48,79.39,423.43,9,7,8,20
36,,ギラヴァンツ北九州北九州,701.67,77.96,388.88,10,7,8,16
37,,奈良クラブ奈良,678.49,75.39,381.81,10,8,11,21
38,,ガイナーレ鳥取鳥取,677.24,84.65,455.34,7,11,5,8
39,,モンテディオ山形山形,662.08,73.56,354.95,6,11,10,11
40,,レイラック滋賀ＦＣ滋賀,653.97,81.75,385.16,8,10,5,8
