Unnamed: 0,Unnamed: 1,Unnamed: 2,守備ポイント,試合平均,最近５試合,順位,勝点,得点,失点
1,,セレッソ大阪Ｃ大阪,144.74,16.08,76.77,9,11,7,10
2,,Ｖ・ファーレン長崎長崎,138.29,15.37,69.19,6,12,10,14
3,,ヴィッセル神戸神戸,132.35,13.24,72.71,1,22,19,8
4,,ジェフユナイテッド千葉千葉,131.35,14.59,80.84,10,8,9,14
5,,清水エスパルス清水,130.78,13.08,64.9,4,16,12,9
6,,ＦＣ町田ゼルビア町田,126.89,12.69,65.29,3,19,13,15
7,,横浜Ｆ・マリノス横浜FM,126.51,14.06,76.33,9,9,12,15
8,,名古屋グランパス名古屋,124.42,13.82,72.83,3,16,14,10
9,,京都サンガF.C.京都,124.32,13.81,74.33,5,14,10,10
10,,ガンバ大阪Ｇ大阪,124.13,13.79,68.86,2,17,13,11
11,,アビスパ福岡福岡,123.79,13.75,66.69,10,8,7,16
12,,ファジアーノ岡山岡山,122.06,13.56,70.27,8,11,9,12
13,,浦和レッズ浦和,121.67,13.52,63.15,6,11,13,11
14,,東京ヴェルディ東京Ｖ,117.38,13.04,67.28,5,13,12,14
15,,川崎フロンターレ川崎Ｆ,115.55,12.84,59.46,4,14,14,16
16,,水戸ホーリーホック水戸,115.4,12.82,61.67,8,10,9,15
17,,鹿島アントラーズ鹿島,115.08,12.79,56.13,1,23,16,5
18,,ＦＣ東京FC東京,108.79,10.88,52.96,2,20,13,7
19,,サンフレッチェ広島広島,105.73,11.75,61.84,7,11,12,13
20,,柏レイソル柏,84.98,9.44,45.25,7,11,14,13
1,,ＳＣ相模原相模原,157.13,17.46,93.6,4,12,17,16
2,,福島ユナイテッドＦＣ福島,150.66,16.74,72.95,9,8,13,23
3,,ギラヴァンツ北九州北九州,150.11,16.68,89.2,10,7,8,16
4,,モンテディオ山形山形,140.83,15.65,82.87,6,11,10,11
5,,ＡＣ長野パルセイロ長野,140.27,15.59,79.51,10,5,8,22
6,,カマタマーレ讃岐讃岐,135.48,15.05,64.52,6,12,7,13
7,,ロアッソ熊本熊本,134.51,14.95,76.92,4,13,11,8
8,,奈良クラブ奈良,133.12,14.79,73.63,10,8,11,21
9,,湘南ベルマーレ湘南,133.07,14.79,74.22,3,21,18,7
10,,松本山雅ＦＣ松本,132.49,14.72,70.21,5,15,18,11
11,,レイラック滋賀ＦＣ滋賀,131.06,16.38,87.17,8,10,5,8
12,,栃木ＳＣ栃木SC,130.93,16.37,82.67,7,10,13,14
13,,栃木シティ栃木Ｃ,130.75,14.53,83.78,8,9,9,18
14,,ＦＣ岐阜岐阜,130.31,14.48,72.22,3,18,15,10
15,,ブラウブリッツ秋田秋田,128.57,14.29,69.26,2,22,13,6
16,,アルビレックス新潟新潟,128.23,14.25,70.3,4,16,10,9
17,,北海道コンサドーレ札幌札幌,128.07,14.23,68.82,7,10,7,13
18,,ＦＣ琉球琉球,127.97,14.22,66.64,9,9,7,12
19,,ジュビロ磐田磐田,127.77,14.2,78.78,8,8,5,11
20,,ベガルタ仙台仙台,127.77,14.2,74.2,1,23,14,6
21,,レノファ山口ＦＣ山口,126.97,14.11,71.49,6,12,9,10
22,,ガイナーレ鳥取鳥取,126.18,15.77,84.09,7,11,5,8
23,,ＦＣ今治今治,126.02,14.0,71.05,9,9,5,9
24,,ツエーゲン金沢金沢,125.61,13.96,66.25,5,12,8,14
25,,藤枝ＭＹＦＣ藤枝,125.42,13.94,73.76,6,15,12,12
26,,愛媛ＦＣ愛媛,125.07,13.9,78.13,8,10,8,10
27,,大分トリニータ大分,124.31,13.81,73.99,3,14,11,10
28,,テゲバジャーロ宮崎宮崎,123.88,13.76,67.94,1,24,18,7
29,,高知ユナイテッドＳＣ高知,121.22,13.47,63.96,3,18,16,11
30,,カターレ富山富山,121.2,13.47,66.61,2,18,20,14
31,,ヴァンフォーレ甲府甲府,120.17,13.35,73.78,4,17,11,6
32,,ザスパ群馬群馬,119.52,13.28,64.67,9,7,8,20
33,,ヴァンラーレ八戸八戸,119.29,14.91,76.18,10,6,4,8
34,,いわきＦＣいわき,119.06,13.23,71.18,1,20,13,7
35,,ＲＢ大宮アルディージャ大宮,118.59,13.18,63.1,2,19,23,10
36,,徳島ヴォルティス徳島,115.44,12.83,66.16,1,21,22,5
37,,ＦＣ大阪FC大阪,110.69,12.3,59.87,7,11,5,6
38,,サガン鳥栖鳥栖,110.0,12.22,63.13,5,12,9,9
39,,鹿児島ユナイテッドＦＣ鹿児島,103.71,11.52,55.58,2,20,10,5
40,,横浜ＦＣ横浜FC,86.39,9.6,48.24,5,11,16,16
