Unnamed: 0,Unnamed: 1,Unnamed: 2,パスポイント,試合平均,最近５試合,順位,勝点,得点,失点
1,,柏レイソル柏,140.02,15.56,80.38,7,11,14,13
2,,ＦＣ東京FC東京,113.13,11.31,50.8,2,20,13,7
3,,鹿島アントラーズ鹿島,112.22,12.47,72.28,1,23,16,5
4,,ヴィッセル神戸神戸,112.22,11.22,47.73,1,22,19,8
5,,ガンバ大阪Ｇ大阪,111.84,12.43,57.05,2,17,13,11
6,,川崎フロンターレ川崎Ｆ,111.26,12.36,60.02,4,14,14,16
7,,サンフレッチェ広島広島,107.61,11.96,58.18,7,11,12,13
8,,名古屋グランパス名古屋,105.16,11.68,57.09,3,16,14,10
9,,セレッソ大阪Ｃ大阪,104.66,11.63,56.29,9,11,7,10
10,,清水エスパルス清水,97.21,9.72,55.59,4,16,12,9
11,,ＦＣ町田ゼルビア町田,96.24,9.62,52.38,3,19,13,15
12,,水戸ホーリーホック水戸,87.37,9.71,49.74,8,10,9,15
13,,京都サンガF.C.京都,86.94,9.66,51.0,5,14,10,10
14,,浦和レッズ浦和,86.66,9.63,53.26,6,11,13,11
15,,Ｖ・ファーレン長崎長崎,85.79,9.53,47.09,6,12,10,14
16,,ジェフユナイテッド千葉千葉,83.14,9.24,35.83,10,8,9,14
17,,東京ヴェルディ東京Ｖ,82.73,9.19,48.52,5,13,12,14
18,,アビスパ福岡福岡,75.79,8.42,46.63,10,8,7,16
19,,横浜Ｆ・マリノス横浜FM,74.97,8.33,36.34,9,9,12,15
20,,ファジアーノ岡山岡山,71.97,8.0,42.05,8,11,9,12
1,,カターレ富山富山,137.71,15.3,81.16,2,18,20,14
2,,福島ユナイテッドＦＣ福島,129.09,14.34,81.05,9,8,13,23
3,,愛媛ＦＣ愛媛,128.65,14.29,66.06,8,10,8,10
4,,ＲＢ大宮アルディージャ大宮,126.66,14.07,67.18,2,19,23,10
5,,北海道コンサドーレ札幌札幌,122.94,13.66,66.69,7,10,7,13
6,,ＦＣ岐阜岐阜,117.51,13.06,78.61,3,18,15,10
7,,大分トリニータ大分,114.76,12.75,58.53,3,14,11,10
8,,サガン鳥栖鳥栖,114.11,12.68,65.0,5,12,9,9
9,,レノファ山口ＦＣ山口,113.79,12.64,62.31,6,12,9,10
10,,奈良クラブ奈良,111.36,12.37,60.45,10,8,11,21
11,,ロアッソ熊本熊本,106.9,11.88,56.71,4,13,11,8
12,,湘南ベルマーレ湘南,101.92,11.32,57.14,3,21,18,7
13,,横浜ＦＣ横浜FC,101.87,11.32,56.25,5,11,16,16
14,,ザスパ群馬群馬,98.36,10.93,50.8,9,7,8,20
15,,ＦＣ琉球琉球,94.27,10.47,52.14,9,9,7,12
16,,ジュビロ磐田磐田,94.05,10.45,44.79,8,8,5,11
17,,ＦＣ大阪FC大阪,93.77,10.42,52.69,7,11,5,6
18,,高知ユナイテッドＳＣ高知,93.53,10.39,51.55,3,18,16,11
19,,ベガルタ仙台仙台,90.64,10.07,50.09,1,23,14,6
20,,鹿児島ユナイテッドＦＣ鹿児島,88.46,9.83,49.75,2,20,10,5
21,,いわきＦＣいわき,88.43,9.83,37.18,1,20,13,7
22,,栃木シティ栃木Ｃ,88.05,9.78,49.45,8,9,9,18
23,,徳島ヴォルティス徳島,87.88,9.76,51.72,1,21,22,5
24,,ＦＣ今治今治,87.82,9.76,48.77,9,9,5,9
25,,テゲバジャーロ宮崎宮崎,87.12,9.68,50.98,1,24,18,7
26,,ツエーゲン金沢金沢,86.83,9.65,48.45,5,12,8,14
27,,アルビレックス新潟新潟,85.55,9.51,49.51,4,16,10,9
28,,ギラヴァンツ北九州北九州,85.32,9.48,39.45,10,7,8,16
29,,ガイナーレ鳥取鳥取,84.7,10.59,51.93,7,11,5,8
30,,モンテディオ山形山形,84.32,9.37,49.56,6,11,10,11
31,,ヴァンフォーレ甲府甲府,83.86,9.32,46.66,4,17,11,6
32,,藤枝ＭＹＦＣ藤枝,80.7,8.97,46.9,6,15,12,12
33,,レイラック滋賀ＦＣ滋賀,74.09,9.26,47.87,8,10,5,8
34,,栃木ＳＣ栃木SC,72.14,9.02,40.83,7,10,13,14
35,,松本山雅ＦＣ松本,70.07,7.79,42.2,5,15,18,11
36,,ＡＣ長野パルセイロ長野,69.51,7.72,34.2,10,5,8,22
37,,ヴァンラーレ八戸八戸,69.18,8.65,46.15,10,6,4,8
38,,ＳＣ相模原相模原,66.66,7.41,37.03,4,12,17,16
39,,ブラウブリッツ秋田秋田,65.1,7.23,33.96,2,22,13,6
40,,カマタマーレ讃岐讃岐,59.34,6.59,32.47,6,12,7,13
