Unnamed: 0,Unnamed: 1,Unnamed: 2,セーブポイント,試合平均,最近５試合,順位,勝点,得点,失点
1,,京都サンガF.C.京都,6.22,0.69,4.47,5,14,10,10
2,,ガンバ大阪Ｇ大阪,5.93,0.66,3.51,2,17,13,11
3,,名古屋グランパス名古屋,5.24,0.58,3.35,3,16,14,10
4,,鹿島アントラーズ鹿島,4.69,0.52,0.98,1,23,16,5
5,,ジェフユナイテッド千葉千葉,4.37,0.49,2.72,10,8,9,14
6,,清水エスパルス清水,4.01,0.4,1.92,4,16,12,9
7,,ヴィッセル神戸神戸,3.99,0.4,1.28,1,22,19,8
8,,ファジアーノ岡山岡山,3.9,0.43,2.67,8,11,9,12
9,,川崎フロンターレ川崎Ｆ,3.84,0.43,1.26,4,14,14,16
10,,東京ヴェルディ東京Ｖ,3.71,0.41,3.64,5,13,12,14
11,,横浜Ｆ・マリノス横浜FM,3.71,0.41,3.09,9,9,12,15
12,,ＦＣ東京FC東京,3.4,0.34,2.23,2,20,13,7
13,,Ｖ・ファーレン長崎長崎,3.28,0.36,1.66,6,12,10,14
14,,アビスパ福岡福岡,3.18,0.35,1.42,10,8,7,16
15,,セレッソ大阪Ｃ大阪,3.08,0.34,1.5,9,11,7,10
16,,浦和レッズ浦和,2.99,0.33,0.78,6,11,13,11
17,,サンフレッチェ広島広島,2.92,0.32,2.33,7,11,12,13
18,,ＦＣ町田ゼルビア町田,2.9,0.29,1.07,3,19,13,15
19,,柏レイソル柏,2.6,0.29,1.34,7,11,14,13
20,,水戸ホーリーホック水戸,2.0,0.22,1.08,8,10,9,15
1,,モンテディオ山形山形,7.22,0.8,4.15,6,11,10,11
2,,ＡＣ長野パルセイロ長野,5.98,0.66,3.44,10,5,8,22
3,,ギラヴァンツ北九州北九州,5.71,0.63,3.37,10,7,8,16
4,,栃木シティ栃木Ｃ,5.64,0.63,4.95,8,9,9,18
5,,ジュビロ磐田磐田,5.48,0.61,2.4,8,8,5,11
6,,福島ユナイテッドＦＣ福島,4.73,0.53,2.79,9,8,13,23
7,,アルビレックス新潟新潟,4.52,0.5,2.25,4,16,10,9
8,,ザスパ群馬群馬,4.49,0.5,0.92,9,7,8,20
9,,大分トリニータ大分,4.36,0.48,1.56,3,14,11,10
10,,ＦＣ琉球琉球,4.2,0.47,2.11,9,9,7,12
11,,徳島ヴォルティス徳島,4.06,0.45,2.99,1,21,22,5
12,,奈良クラブ奈良,3.99,0.44,1.91,10,8,11,21
13,,ロアッソ熊本熊本,3.9,0.43,0.89,4,13,11,8
14,,カターレ富山富山,3.8,0.42,2.16,2,18,20,14
15,,ベガルタ仙台仙台,3.64,0.4,1.57,1,23,14,6
16,,ヴァンフォーレ甲府甲府,3.59,0.4,2.13,4,17,11,6
17,,カマタマーレ讃岐讃岐,3.41,0.38,1.26,6,12,7,13
18,,藤枝ＭＹＦＣ藤枝,3.26,0.36,2.58,6,15,12,12
19,,サガン鳥栖鳥栖,3.22,0.36,1.54,5,12,9,9
20,,ＦＣ大阪FC大阪,3.21,0.36,1.07,7,11,5,6
21,,高知ユナイテッドＳＣ高知,3.04,0.34,1.6,3,18,16,11
22,,ＲＢ大宮アルディージャ大宮,3.04,0.34,1.04,2,19,23,10
23,,ブラウブリッツ秋田秋田,3.02,0.34,1.71,2,22,13,6
24,,レイラック滋賀ＦＣ滋賀,3.01,0.38,2.19,8,10,5,8
25,,横浜ＦＣ横浜FC,3.01,0.33,2.23,5,11,16,16
26,,ガイナーレ鳥取鳥取,2.98,0.37,1.97,7,11,5,8
27,,レノファ山口ＦＣ山口,2.96,0.33,1.61,6,12,9,10
28,,愛媛ＦＣ愛媛,2.83,0.31,1.82,8,10,8,10
29,,北海道コンサドーレ札幌札幌,2.58,0.29,1.3,7,10,7,13
30,,栃木ＳＣ栃木SC,2.55,0.32,1.55,7,10,13,14
31,,ＦＣ今治今治,2.51,0.28,1.51,9,9,5,9
32,,ツエーゲン金沢金沢,2.45,0.27,1.26,5,12,8,14
33,,松本山雅ＦＣ松本,2.45,0.27,1.19,5,15,18,11
34,,ＳＣ相模原相模原,1.95,0.22,1.31,4,12,17,16
35,,ＦＣ岐阜岐阜,1.85,0.21,0.89,3,18,15,10
36,,テゲバジャーロ宮崎宮崎,1.8,0.2,0.91,1,24,18,7
37,,湘南ベルマーレ湘南,1.42,0.16,1.05,3,21,18,7
38,,ヴァンラーレ八戸八戸,1.3,0.16,0.68,10,6,4,8
39,,いわきＦＣいわき,1.19,0.13,0.81,1,20,13,7
40,,鹿児島ユナイテッドＦＣ鹿児島,0.95,0.11,0.75,2,20,10,5
